sess,Type,lr,bsize,DS,lossFunc,emb_dim,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.03129808232188225,16.231277465820312,22.53791046142578,18.208660125732422
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.030088486149907112,16.104726791381836,19.321712493896484,18.10042381286621
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.029582420364022255,15.9911527633667,21.42051124572754,17.700708389282227
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,50.0,0.03328225761651993,16.046857833862305,21.070423126220703,17.62189483642578
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.02809283137321472,17.475069046020508,22.092041015625,26.358333587646484
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.026626044884324074,15.640996932983398,16.06820297241211,14.281355857849121
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.03134014084935188,17.937910079956055,27.70319938659668,17.02707290649414
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.03260495141148567,16.348846435546875,21.456724166870117,14.967741012573242
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.04002479091286659,14.177169799804688,19.072511672973633,13.739364624023438
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.031013110652565956,16.214832305908203,21.06800651550293,16.136831283569336
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.031630951911211014,16.434764862060547,22.811174392700195,18.38197898864746
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.02997453138232231,15.88524341583252,19.457651138305664,17.64335823059082
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.029739731922745705,15.955573081970215,21.493003845214844,18.135560989379883
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,60.0,0.03354484960436821,16.103260040283203,21.134145736694336,17.59349822998047
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.027613092213869095,16.99484634399414,22.334653854370117,24.6049861907959
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.02595357783138752,15.418109893798828,15.536967277526855,14.14186954498291
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.03069753386080265,17.25629425048828,27.37569808959961,15.70610237121582
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.0330188050866127,16.56845474243164,21.538042068481445,15.287635803222656
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.04109710827469826,14.803009986877441,18.860383987426758,14.813508033752441
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.031187789514660835,16.31833839416504,21.362810134887695,16.373523712158203
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.031363002955913544,16.07727813720703,22.50518798828125,18.170907974243164
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.02994764782488346,15.786322593688965,19.433944702148438,17.639863967895508
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.029690122231841087,15.963545799255371,21.089027404785156,17.780977249145508
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,70.0,0.033762410283088684,16.267333984375,21.318782806396484,17.804128646850586
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.028570465743541718,18.245332717895508,21.766998291015625,27.022539138793945
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.026150420308113098,15.674284934997559,15.593038558959961,14.27456283569336
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.030915027484297752,17.39150047302246,28.01955795288086,16.0417537689209
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.03279837593436241,16.18504524230957,21.766246795654297,14.914602279663086
test,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.04022275283932686,14.418349266052246,18.881742477416992,13.886320114135742
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.030798541381955147,16.04210662841797,21.067258834838867,15.840614318847656
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.03148341923952103,16.309175491333008,22.802793502807617,18.343374252319336
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.029916618019342422,15.880615234375,19.42257308959961,17.59507179260254
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.029535897076129913,16.036569595336914,21.175016403198242,17.711362838745117
train,moBWHT,0.001,128.0,IWALQQ_AE_4th,MAE,80.0,0.033504847437143326,16.076629638671875,21.221158981323242,17.546777725219727
