sess,Type,lr,bsize,DS,emb_dim,weight_Decay,loss,X_nRMSE,Y_nRMSE,Z_nRMSE
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.07671541720628738,17.263673782348633,88.77740478515625,72.33575439453125
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.05192415043711662,14.263016700744629,57.79658508300781,57.9251823425293
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.06364532560110092,17.00124740600586,74.71260833740234,61.70178985595703
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.06207486242055893,16.323461532592773,74.2835922241211,57.05520248413086
test,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.05696011334657669,17.29414176940918,51.55704879760742,49.6858024597168
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.06274618208408356,15.064492225646973,78.07938385009766,55.56965637207031
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.0644136592745781,15.406204223632812,85.33711242675781,59.35409927368164
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.05841657519340515,14.30900764465332,77.18126678466797,54.795440673828125
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.05506543442606926,14.329191207885742,73.46112060546875,51.022769927978516
train,angle,0.001,128.0,IWALQQ_AE_4th,40.0,0.001,0.05696042254567146,14.33638858795166,78.44942474365234,52.42851257324219
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.0,0.0635095089673996,15.43832778930664,74.83187866210938,50.7216911315918
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.0,0.06230933964252472,16.954795837402344,91.23606872558594,60.42661666870117
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.0,0.06483595818281174,21.45928382873535,60.41392135620117,58.99147033691406
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.0,0.0665779709815979,17.427682876586914,74.05221557617188,64.84090423583984
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.0,0.06968750059604645,19.087636947631836,78.23812866210938,53.66364669799805
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.0,0.03994067758321762,10.840506553649902,43.40380096435547,36.6745491027832
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.0,0.03944139555096626,10.68922233581543,46.0994987487793,37.84437561035156
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.0,0.03802718222141266,10.231256484985352,46.90546417236328,37.056732177734375
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.0,0.03566615656018257,9.629838943481445,44.795963287353516,34.806766510009766
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.0,0.03646034002304077,9.824443817138672,43.79764175415039,35.50607681274414
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.05819449946284294,11.92180347442627,96.95217895507812,42.747745513916016
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.04920469596982002,13.945621490478516,71.4994888305664,49.68460464477539
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.061131637543439865,16.94468879699707,79.9950180053711,59.64943313598633
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.05821501463651657,15.551509857177734,63.22151184082031,56.941097259521484
test,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.0596611313521862,17.455955505371094,52.86906051635742,51.72031021118164
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.0606621578335762,15.526354789733887,67.19284057617188,55.127079010009766
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.061097629368305206,15.322580337524414,81.70740509033203,55.11651611328125
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.06150883063673973,14.68705940246582,89.91385650634766,53.3636474609375
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.05608493089675903,14.328742980957031,76.68965911865234,51.86483383178711
train,angle,0.001,128.0,IWALQQ_AE_4th,50.0,0.001,0.057069018483161926,14.509367942810059,75.576171875,54.07827377319336
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.0,0.07029717415571213,18.13858413696289,77.63184356689453,56.38916778564453
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.0,0.06744242459535599,16.372758865356445,110.94481658935547,63.9857292175293
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.0,0.06636498123407364,21.479976654052734,46.869075775146484,69.19466400146484
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.0,0.0631508156657219,17.783897399902344,51.81571578979492,68.50798797607422
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.0,0.06634588539600372,18.90321159362793,59.86943435668945,56.724266052246094
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.0,0.03776225447654724,9.9612455368042,40.964942932128906,35.343441009521484
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.0,0.03529858589172363,9.247526168823242,41.593780517578125,34.4742546081543
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.0,0.0346786230802536,9.110182762145996,42.825462341308594,34.62544631958008
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.0,0.0342400036752224,8.99628734588623,43.733646392822266,34.244361877441406
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.0,0.034403033554553986,9.291299819946289,42.22022247314453,32.19660186767578
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.05978723242878914,13.140241622924805,87.89643096923828,48.3035774230957
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.053629931062459946,13.628399848937988,100.40412139892578,46.68144989013672
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.05955629423260689,16.476301193237305,71.45259094238281,57.71880340576172
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.06976528465747833,19.329395294189453,69.8552017211914,60.71415328979492
test,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.05755395442247391,15.632512092590332,53.890899658203125,50.50958251953125
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.05905956029891968,15.052972793579102,67.10565185546875,53.134090423583984
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.06007249653339386,15.030010223388672,79.4093017578125,54.84869384765625
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.05624029412865639,14.348991394042969,73.160888671875,51.662559509277344
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.06007206439971924,15.126908302307129,78.89768981933594,57.571720123291016
train,angle,0.001,128.0,IWALQQ_AE_4th,5.0,0.001,0.05636027455329895,14.234615325927734,75.68696594238281,52.99784469604492
test,angle,0.001,128.0,IWALQQ_AE_4th,60.0,0.0,0.06408058106899261,15.97342300415039,73.9549789428711,51.073429107666016
